Course,Prerequisite
hisd48h3,Any 4.0 credits.
hisd50h3,Any 6.0 credits
hisd51h3,Any 8.0 credits
hisd52h3,Any 8.0 credits
hisd56h3,Completion of at least 6.0 credits from the requirements of the Major/Major Co-operative programs in Health Studies; and a minimum CGPA of 2.5; and permission of the instructor.
hisd58h3, CSCB09H3 and  CSCB63H3 [CGPA 3.0 or enrolment in a CSC Subject POSt]
hisd59h3, VPHA46H3 and [3.0 credits at the B- or C-level in VPS courses]; students enrolled in the Specialist and Major programs in Studio must also complete  ACMB01H3
hisd60h3, MGEB01H3/( ECMB01H3) or  MGEB02H3/( ECMB02H3)
hisd63h3,At least 1.0 credit at the C-level in PLI courses and permission of the supervising instructor.
hisd64h3,[ SOCB05H3 or  SOCB35H3] and [0.5 credit from the following:  SOCB30H3  SOCB42H3  SOCB43H3  SOCB47H3]
hisd70h3,13.0 credits including [ GGRB13H3 or  SOCB60H3]
hisd71h3,[ NROC34H3 or  NROC64H3 or  NROC69H3] and [ MATA29H3 or  MATA31H3] and [ PSYB07H3 or  STAB22H3]
hisd72h3, ANTB19H3 and  ANTB20H3 and at least 0.5 credit at the C-level in socio-cultural anthropology courses
hisd73h3,None
hisd95h3,2 C-level courses in English
hlta02h3,None
hlta03h3,None
hltb11h3,1.0 credit at the C-level in ENG courses
hltb15h3,At least 1.0 credit at the C-level in PLI courses and permission of the supervising instructor.
hltb16h3, VPMC70H3
hltb20h3, HISB60H3 and  HISB61H3
hltb22h3, MGAC10H3/( MGAD10H3)/( MGTD60H3)
hltb40h3, MDSA01H3 and  MDSA02H3
hltb41h3,[ GASA01H3 and  GASA02H3] and one C-level course from the options in the Specialist or Major program requirement #2
hltb42h3,[( SOCA01H3) and ( SOCA02H3)] or  SOCA03Y3
hltb50h3,At least 1.0 credit at the B-level in ONE of the following: City Studies or Human Geography or Economics for Management Studies or Management or Political Science or Sociology
hltc02h3,Any 4.0 credits
hltc04h3,None
hltc16h3, BIOC12H3
hltc17h3, VPMB66H3
hltc19h3, POLB72H3 or  PHLB17H3
hltc22h3, MGHB02H3 or [( MGTB23H3) and ( MGTB29H3)] or ( MGTB27Y3) or [2.0 credits at the C-level in POL courses] or  ENGD94H3
hltc23h3, MATA29H3
hltc24h3, HLTB41H3 or [[ SOCB05H3 or  SOCB35H3] and [0.5 credit from the following:  SOCB30H3   SOCB42H3  SOCB43H3  SOCB47H3]] 
hltc25h3,Any 4 credits
hltc27h3,1.5 credits at the C-level in VPH courses
hltc28h3, IMCB06H3
hltc29h3,None
hltc42h3,3.0 credits in Psychology Biology or Neurosciences and permission of instructor.
hltc43h3, ANTA01H3 and  ANTA02H3
hltc44h3,[1.5 credits at the C-level in MAT courses] and [permission of the Supervisor of Studies] and [a CGPA of at least 3.0 or enrolment in a Mathematics Subject POSt]
hltc46h3,Completion of at least 2.0credits at the C-Level in HLT courses from the requirements of the Major/Major Co-operative programs in Health Studies; and a minimum CGPA of 2.5.
hltc47h3, AFSA01H3 or  IDSA01H3
hltc48h3, ACMB01H3 and [[2.0 credits at the B-level in MDS courses] or [2.0 credits at the B-level in VPM courses]]
hltc49h3,None
hltc50h3, GGRC30H3
hltc51h3, MGEB01H3/( ECMB01H3) or  MGEB02H3/( ECMB02H3)
hltc52h3,2 C-level courses in English
hltd01h3,2 C-level courses in English
hltd02h3,2 C-level courses in English
hltd04h3, FREB50H3 and at least 0.5 credit at the C-level in FRE literature courses
hltd05h3,Any 8.0 credits including: [0.5 credit at the A- or B-level in AFS CLA FST GAS HIS or WST courses] and [0.5 credit at the C-level in AFS CLA FST GAS HIS or WST courses]
hltd06h3,[ ANTB19H3 and  ANTB20H3] or [ MDSA01H3 and  MDSB05H3 and  ACMB01H3]
hltd07h3,[ PSYB55H3 or (PSYB65)] and [ PSYB01H3 or  PSYB04H3] and [ PSYB07H3 or  STAB22H3 or  STAB23H3]
hltd08h3, MDSA01H3 and  MDSA02H3
hltd11h3,[Three C-level CSC courses] and [permission of the Supervisor of Studies] and [CGPA 3.0 or enrolment in a CSC Subject POSt] Enrolment procedures: Project supervisor's note of agreement must be presented to the Supervisor of Studies who must issue permission for registration.
hltd12h3,At least 1.5 credits at the B-level in ONE of the following: City Studies or Human Geography or Political Science or Sociology
hltd13h3,None
hltd20h3, ENGB08H3
hltd21h3,None
hltd22h3,No more than 10.0 credits completed. Students are required to take a diagnostic test of academic English skills to be conducted by the English Language Development Centre in advance of the first day of class.
hltd23h3, PSYB01H3 and  PSYB07H3 and  PSYC08H3 Psychology or Mental Health Studies Specialist cumulative GPA of 3.3 or higher.  Note:  Registration in D-level courses on ROSI is tentative. This is to ensure spaces in these courses for students who need them to graduate at the end of the current session. ROSI will show your status in the course and its final confirmation.
hltd25h3,1.5 credits at the C-level in Studio.
hltd29h3,[ PSYB01H3 or  PSYB04H3] and [ PSYB07H3 or  STAB22H3 or  STAB23H3] and [ PSYB10H3 or  PSYB20H3] and [ PSYC13H3 or  PSYC18H3 or  PSYC23H3]
hltd47h3,None
hltd48h3,At least 4.0 credits including  VPAA10H3
hltd49h3,At least 14.5 credits
hltd50h3, BIOB11H3 or ( BIOB10Y3) 
hltd51h3,None
hltd52h3,None
hltd53h3,Permission of the instructor and [CGPA 3.0 or enrolment in a CSC Subject POSt]. Normally intended for students who have completed at least 8 credits.
hltd71y3, LINB06H3
idsa01h3, LGGA65H3 or ( LGGA63H3) or equivalent
idsa02h3, MDSA01H3 or  SOCB58H3
idsb01h3,[ PSYB07H3 or  STAB22H3 or  STAB23H3] and [ PSYB55H3 or ( PSYB65H3)] and [0.5 credit at the C-level in PSY courses]  
idsb02h3,None
idsb04h3,[ PSYB07H3 or  STAB22H3 or  STAB23H3] and [ PSYB01H3 or  PSYB04H3] and [ PSYB10H3 or  PSYB57H3 or  PSYC57H3]
idsb06h3, CHMB55H3 and  CHMC11H3
idsb10h3,Minimum of 10.0 credits including  MGAB02H3/( MGTB06H3) and  MGIA01H3/( MGTB07H3) and  MGFB10H3/( MGTB09H3) and  MGIB02H3/( MGTB25H3)
idsc01h3,[ PSYC31H3 or  PSYC32H3] and  PSYB57H3
idsc02h3, CSCB09H3 and  CSCB36H3 and [CGPA 3.0 or enrolment in a CSC Subject POSt]
idsc04h3, ANTA02H3 or [any 4.0 credits]
idsc06h3, MGIB02H3/( MGTB25H3)
idsc07h3,None
idsc08h3,None
idsc10h3, MGEB01H3/( ECMB01H3) or  MGEB02H3/( ECMB02H3)
idsc11h3,None
idsc12h3,[ PSYB01H3 or  PSYB04H3] and  PSYB10H3 and [ PSYC12H3 or  PSYC14H3]
idsc14h3,None
idsc15h3, SOCB05H3 and [1.0 credit from the following:  SOCB42H3  SOCB43H3  SOCB47H3]
idsc17h3, MGEB01H3/( ECMB01H3) or  MGEB02H3/( ECMB02H3)
idsc18h3,None
idsd01y3, LINB09H3
idsd02h3,2 courses at the C-level in English
idsd06h3, MGHB02H3 or or  MGIB02H3 or [( MGTB23H3) and ( MGTB29H3)] or ( MGTB27Y3)
idsd07h3,[8.0 credits including  VPAA10H3 and  VPAB05H3 and  ACMB01H3] or [8.0 credits including  SOCB58H3 and registration in the Minor in Culture Creativity and Cities]
idsd10h3,2 C-level courses in English
idsd12h3,2 C-level courses in English
idsd13h3, MGEC61H3/( ECMC61H3)
idsd14h3,None
idsd15h3, [ PSYB01H3 or  PSYB04H3] and [ PSYB07H3 or  STAB22H3 or  STAB23H3] and [ PSYB20H3 or  PSYC21H3 or  PLIC24H3 ] and [0.5 credit at the C-level in PSY courses]
idsd19h3, RLGA01H3 or ( HUMB04H3) or ( PHLB42H3)
imcb01h3, MGTA05H3 and  MGFB10H3 and  MGEC40H3
imcb02h3,Any 4.5 credits and [an additional 1.5 credits in PHL courses of which 0.5 credit must be from the Mind Metaphysics and Epistemology area of focus – see Table 1.0 for reference]
imcb03h3,[[( SOCA01H3) and ( SOCA02H3)] or  SOCA03Y3] or [ WSTA01H3 and  WSTA03H3]
imcb04h3, HLTB22H3
imcb05h3, HLTA02H3 and  HLTA03H3
imcb06h3,One full credit in Theatre and Performance at the C-level and permission of the Program Director.
imcb07h3, HLTA02H3
imcb08h3,Any 8.0 credits including: [0.5 credit at the A- or B-level in HIS courses] and [0.5 credit at the C-level in HIS courses]
imcc01h3,None
imcc02h3, NROB60H3
imcc03h3, MGAC01H3/( MGTC07H3) and  MGAC02H3/( MGTC08H3)
imcc04h3,Any modern history course or  AFSA01H3.
istd01h3, VPDB03H3 and  ACMB01H3
joua01h3,[( SOCA01H3) and ( SOCA02H3)] or  SOCA03Y3
joua02h3, MGHB02H3 or [( MGTB23H3) and ( MGTB29H3)] or ( MGTB27Y3)
joua06h3, MGFC10H3/( MGTC09H3)
joub01h3, MATB24H3 and  MATB41H3 and  STAB52H3 and [CGPA 3.0 or enrolment in a CSC STA or Quantitative Analysis Subject POSt].
joub02h3, CHMA10H3  CHMA11H3  CHMB41H3
joub03h3,[[ SOCB05H3 or  SOCB35H3] and [0.5 credit from the following:  SOCB30H3  SOCB42H3  SOCB43H3  SOCB47H3]] or [ SOCB58H3 and enrolment in the Minor in Culture Creativity and Cities] or [ CITB02H3 and enrolment in the Major/Major Co-op in City Studies]
joub05h3,Any 6.0 credits 
joub11h3,Any 4.0 credits including 0.5 credit at the A- or B-level in HIS courses
joub14h3,Any 8.0 credits in AFS CLA GAS HCS HIS RLG and/or WST courses
joub18h3, BIOC15H3
joub20h3,[ ANTB19H3 and  ANTB20H3] or [ MDSA01H3 and  MDSB05H3 and  ACMB01H3]
joub24h3, ANTB19H3 and  ANTB20H3 and at least 1.0 credit at the C-level in socio-cultural anthropology.
joub39h3, VPHA46H3 and [3.0 credits at the B- or C-level in VPS courses including 0.5 credit taken from:  VPSB59H3  VPSB71H3  VPSB77H3  VPSB86H3 or  VPSB88H3]; students enrolled in the Specialist and Major programs in Studio must also complete  ACMB01H3
jouc13h3,None
jouc18h3,2.0 full credits in RLG and permission of the instructor
jouc19h3,None
jouc20h3, VPHA46H3
jouc25h3,[3.0 credits in MDS courses including 1.0 credit at the C-level]
jouc30h3, NROB60H3
jouc31h3,None
jouc60h3, VPMB74H3 or ( VPMB92H3)
jouc62h3, CHMB42H3
jouc63h3,None
jouc80h3,HLTB41H3 or [[ SOCB05H3 or SOCB35H3] and [0.5 from SOCB30H3 SOCB42H3 SOCB43H3 SOCB47H3]]
joud10h3,10.0  credits including:  JOUB01H3 and  JOUB02H3 and  ACMB02H3
joud11h3,2.0 credits at the C-level in HLT courses from the requirements of the Major/Major Co-op programs in Health Studies - Population Health (Science) including  HLTC17H3; and a CGPA of 2.5
joud12h3,None
lgga60h3,Permission of the instructor. Normally recommended for individuals who have completed fifteen full credits including at least two C-level Chemistry courses and who are pursuing one of the Chemistry Programs.
lgga61h3,Grade 12 Advanced Functions (MHF4U) and Grade 12 Calculus and Vectors (MCV4U)
lgga64h3,None
lgga65h3,Grade 12 Calculus and Vectors and one other Grade 12 mathematics course.
lgga70h3,Any 4.0 credits
lgga71h3,Any 4.5 credits and [an additional 1.5 credits in PHL courses of which 0.5 credit must be from the Value Theory area of focus – see Table 1.0 for reference]
lgga72y3, MATB44H3
lgga74h3, BIOB50H3 or  BIOB51H3
lgga75h3,Minimum of 14.0 credits including  PMDC54Y3 and  PMDC56H3 and [ PSYB07H3 or  STAB22H3]
lgga76y3,[ POLB50Y3 or equivalent] and [1.5 credits at the C-level in POL courses]
lgga78y3,Students must obtain consent from the Supervisor of Studies before registering for this course.
lgga80h3, WSTA01H3 or [ WSTA03H3 or ( WSTA02H3)]
lgga81h3,12.0 credits including  IDSA01H3
lgga82y3,12.0 credits including:  JOUA06H3 and  JOUB11H3 and  JOUB14H3 and  JOUB18H3 and  JOUB19H3; students must have a minimum CGPA of 2.0
lgga90y3,3.0 credits at the B- or C-level in COG and/or LIN and/or PSY and permission of the supervisor.  Note:  Normally students need a cumulative GPA of at least 2.7 for permission to be granted.
lgga91y3,A minimum overall average of B+ in VPM courses and at least 1.0 full credit in music at the C-level. Students in the Composition option must also have completed  VPMC90H3. Students in the Performance/research option must complete at least one course in performance at the C-level.
lgga95y3, MGAB03H3/( MGTB03H3) and  MGFB10H3/( MGTB09H3) and [ MGHB02H3 or ( MGTB23H3)]
lggb60h3,None
lggb61h3,None
lggb62h3,1.0 credit at the A-level in AFS GAS HIS WST or other Humanities and Social Sciences courses
lggb63h3, VPSB56H3
lggb70h3,[ PSYB07H3 or  STAB22H3 or  STAB23H3] and  PSYB32H3 and [0.5 credit at the C-level in PSY courses]
lggb71h3,Any 4.5 credits and [an additional 1.5 credits in PHL courses of which 0.5 credit must be from the History of Philosophy area of focus – see Table 1.0 for reference] 
lggb74h3,Any 6.0 credits 
lggc60h3,Any 6.0 credits 
lggc61h3,[ VPHA46H3 and  VPSB73H3]; students enrolled in the Specialist and Major programs in Studio must also complete  ACMB01H3
lggc62h3,None
lggc63h3,Completion of  HLTA02H3 and  HLTA03H3 and at least 4.0 credits from the requirements of one of the Major/Major Co-operative programs in Health Studies; and a minimum CGPA of 2.5; and permission of the instructor.
lggc64h3,Any 8.0 credits
lggc65h3,3.5 credits in PHL courses including [[ PHLC95H3 or  PHLC86H3] and 0.5 credit at the C-level]
lggc66h3, PSYA01H3 and  PSYA02H3
lggc67h3,[ PSYB55H3 or ( PSYB65H3) or  PSYC55H3] and [ PSYB07H3 or  STAB22H3 or  STAB23H3]
lggc70h3,One full credit in Theatre and Performance at the C-level and permission of the Program Director.
lina01h3, VPHA46H3
lina02h3, ANTB19H3 and  ANTB20H3
linb04h3,None
linb06h3, MGFC10H3/( MGTC09H3) and  MGEB12H3/( ECMB12H3)
linb09h3, ANTA02H3
linb10h3,None
linb13h3,12.0 credits including:  JOUA06H3  JOUB11H3  JOUB14H3  JOUB18H3 and  JOUB19H3; students must have a CGPA of 2.0
linb18h3,None
linb19h3,[ FREB01H3 and  FREB02H3] and [ FREB08H3 or ( FREB09H3)] or equivalent.
linb20h3, ACMB01H3 and  CRTB01H3 and  CRTB02H3
linb29h3,None
linb60h3,Completion of at least 3.5 credits of a Physical Sciences program
linb62h3,( BIOB30H3) or  BIOB34H3 or  BIOC32H3
linb98h3, IDSA01H3 and  IDSB01H3
linc02h3,One full credit in Theatre and Performance at the C-level and permission of the Program Director.
linc11h3, LINA02H3
linc12h3,[ PSYB01H3 or  PSYB04H3] and [ PSYB07H3 or  STAB22H3 or  STAB23H3] and  PSYB57H3 and [0.5 credit at the C-level in PSY courses]
linc28h3,A minimum of 2.5 credits at the B-level or higher in CSC courses
linc47h3, LGGB61H3 or ( LGGB04H3)
linc61h3,Permission of the instructor
lind01h3,None
lind02h3,None
lind03h3, BIOB11H3 or ( BIOB10Y3)
lind07y3,[ MGEB01H3/( ECMB01H3) or  MGEB02H3/( ECMB02H3)] and [ MGEB05H3/( ECMB05H3) or  MGEB06H3/( ECMB06H3)]
lind09h3,2 full credits at the B-level in Art History Asian History and/or Global Asia Studies including at least one of  VPHB39H3  VPHB73H3  GASB58H3/ HISB58H3  GASB33H3 or ( GASB35H3)
lind29h3,[( SOCA01H3) and ( SOCA02H3)] or  SOCA03Y3
lind46h3, WSTA01H3 and [ WSTA03H3 or ( WSTA02H3)].
mata02h3,[ POLB50Y3 or equivalent] or  POLB30H3
mata22h3,[[( POLB70H3) and ( POLB71H3)] or  POLB72H3 or  POLB30H3] and [1.5 credits at the C-level in POL courses]
mata23h3,[ FREB01H3 and  FREB02H3] or equivalent.
mata29h3,[ MATA29H3 or  MATA30H3 or  MATA31H3 or  MATA32H3] and [ MATA33H3 or  MATA35H3 or  MATA36H3 or  MATA37H3] and  MGEB02H3/( ECMB02H3) and  MGEB11H3/( ECMB11H3) and  MGEB12H3/( ECMB12H3) and [ MGTA36H3 or  MGTA35H3]
mata30h3, PSYB32H3
mata31h3,Any 8.0 credits
mata32h3,Any 4.0 credits including 0.5 credit at the A- or B-level from AFS CLA FST GAS HIS or WST courses
mata33h3, CHMA10H3
mata35h3,15.0 credits including completion of the following requirements of the Major/Major Co-op programs in City Studies: 1) Introduction to Social Science Thought 2) Core Courses 4) Methods; and a cumulative GPA of at least 2.5
mata36h3,1.0 credit at the B-level and 1.0 credit at the C-level in HIS WST or other Humantities and Social Sciences courses
mata37h3, PSYA01H3 and  PSYA02H3
mata67h3,[ MATA36H3 or  MATA37H3] and one A-level science course
matb24h3,Any 6.0 credits 
matb41h3, MGAB03H3/( MGTB03H3) and [ MGHB02H3 or [( MGTB23H3) and ( MGTB29H3)] or ( MGTB27Y3)]
matb42h3, VPSB89H3
matb43h3, MGEB02H3/( ECMB02H3) and  MGEB06H3/( ECMB06H3) and  MGEB11H3/( ECMB11H3) and  MGEB12H3/( ECMB12H3) and  MGEC11H3/( ECMC11H3)
matb44h3,At least 1.0 credit at the C-level in EES courses and 0.5 credit at the C-level in CHM or PHY courses.
matb61h3,Any 6.0 credits
matc01h3,None
matc09h3, ANTB19H3 and  ANTB20H3 and [at least 1.0 credit at the C-level in Socio-Cultural Anthropology courses]
matc15h3, CSCC24H3 and  STAB52H3 and [CGPA 3.0 or enrolment in a CSC subject POSt]
matc27h3,[ MGEB01H3/( ECMB01H3) or  MGEB02H3/( ECMB02H3)] and [ MGEB05H3/( ECMB05H3) or  MGEB06H3/( ECMB06H3)]
matc32h3,[ VPMA95H3 or [Grade 12 Music or equivalent]] and [0.5 credit in Performance]
matc34h3,Any 4.5 credits and [an additional 1.5 credits in PHL courses]
matc37h3, PSYB10H3
matc44h3, MGEC11H3/( ECMC11H3) and [ MGEC72H3/( ECMC49H3) or  MGFC10H3/( MGTC09H3)]
matc46h3, PMDB22H3 and  PMDB25H3 and  PMDB41H3 and  PMDB33H3
matc58h3, ANTA01H3 and  ANTA02H3 and 2.0 full credits in Anthropology one of which must be at the C-level. Permission of the instructor.
matc63h3,[[ SOCB05H3 or  SOCB35H3] and [0.5 credit from the following:  SOCB30H3  SOCB42H3  SOCB43H3  SOCB47H3]] or [ SOCB58H3 and enrolment in the Minor in Culture Creativity and Cities]
matc82h3,[ MGMA01H3/( MGTB04H3) or  MGIA01H3/( MGTB07H3)]
matc90h3,Any 4.0 credits including 0.5 credit at the A- or B-level in HIS courses
matd01h3, VPMA93H3
matd02h3,Any 3.0 credits in Theatre and Performance Studies and  ACMB01H3 and permission of the Program Director.
matd10h3,14.5 credits including: [ JOUB05H3 and  JOUB19H3 and  JOUC18H3 and  JOUC19H3 and  JOUC20H3] and [( JOUB09H3) or  JOUB20H3]; students must have a minimum CGPA of 2.0
matd11h3, EESB03H3
matd12h3, BIOB11H3 or ( BIOB10Y3)
matd16h3,None
matd26h3,At least 1.0 credit at the C-level in LIN courses and permission of the supervising instructor.
matd34h3, MGAB01H3/( MGTB05H3)
matd92h3,Completion of at least 2.0 credits at the C-Level in HLT courses from the requirements of the Major/Major Co-operative programs in Health Studies; and a minimum CGPA of 2.5.
matd93h3, GGRB32H3
matd94h3,10.0 credits including:  JOUB01H3 and  JOUB02H3 and  ACMB02H3
matd95h3,[ MGTA01H3/( MGTA03H3) and  MGTA02H3( MGTA04H3)] or  MGTA05H3
mdsa01h3,1.0 credit in EES courses
mdsa02h3,Any 4.0 credits including:  AFSB50H3/ HISB50H3 or  AFSB51H3/ HISB51H3 or ( HISC50H3) or ( HISC51H3)
mdsb01h3,11.0 credits including  VPHB39H3  CRTB01H3 and  CRTB02H3
mdsb03h3, MGHB02H3 or  MGIB02H3 or ( MGTB23H3)
mdsb05h3, CHMB41H3 and  CHMB42H3
mdsb09h3,None
mdsb10h3, HLTB41H3
mdsb15h3,None
mdsb25h3,Any 8.0 credits including: [0.5 credit at the A- or B-level in GAS or HIS courses] and [0.5 credit at the C-level in GAS or HIS courses]
mdsb61h3, VPHA46H3 and  VPHB39H3 and  ACMB01H3
mdsb62h3, MATA29H3 and  BIOB50H3
mdsb63h3,[ HISB30H3 and  HISB31H3]
mdsc01h3,None
mdsc02h3, BIOA02H3 and  IMCB01H3
mdsc21h3, HISB60H3 and  HISB61H3
mdsc35h3, FREA01H3 and  FREA02H3
mdsc40h3,One full credit in Theatre and Performance at the C-level and permission of the Program Director.
mdsc41h3,None
mdsc53h3, VPMB71H3
mdsc60h3, MGEB01H3/( ECMB01H3) or  MGEB02H3/( ECMB02H3)
mdsc61h3,None
mdsc62h3, MGEB02H3/( ECMB02H3) and  MGEB06H3/( ECMB06H3) and  MGEB12H3/( ECMB12H3)
mdsc63h3, BIOB50H3 and  BIOB51H3
mdsc64h3, BIOA01H3 and  BIOA02H3 and  CHMA10H3 and  CHMA11H3 and [ PHYA10H3 or  PHYA11H3]
mdsc65h3, ECTB61H3 and [ LGGC64H3 or  LGGC65H3 or  LGGC66H3 or  LGGC67H3]. Students must have a minimum GPA of 70% in LGGC64H or LGGC65H (or an equivalent through an interview).
mdsc66h3,Any one of the following courses [ PHYC56H3 or  CHMC20H3 or  CHMC25H3]
mdsc71h3,8.0 credits including  AFSB51H3/ HISB51H3 or  HISD50H3
mdsc80h3, VPMC73H3
mdsc85h3,[ GASA01H3 and  GASA02H3 and one C-level course from the options in the Specialist or Major program requirement #2
mdsd01h3,None
mdsd02h3, MATB43H3
mdsd11h3, ACMB01H3 and 2.0 credits at the B-level in MDS courses
mgab01h3, STAB22H3 or  STAB23H3
mgab02h3, SOCB05H3 and [1.0 credit from the following:  SOCB30H3  SOCB42H3  SOCB43H3  SOCB47H3]
mgab03h3,Students must obtain consent from the Supervisor of Studies before registering for this course.
mgac01h3,Any 4.5 credits and [an additional 1.5 credits in PHL courses of which 0.5 credit must be from the Mind Metaphysics and Epistemology area of focus – see Table 1.0 for reference]
mgac02h3, MGEB11H3/( ECMB11H3) and  MGEB12H3/( ECMB12H3)
mgac03h3, HLTB41H3 or  IDSB04H3
mgac10h3,Some experience with programming in an imperative language such as Python Java or C.
mgac50h3,1.0 credit from the following:  [ CLAA04H3/ HISA07H3  CLAB05H3/ HISB10H3  CLAB06H3/ HISB11H3  ANTA02H3  ANTB19H3  ANTB20H3  HISB02H3  AFSB50H3/ HISB50H3  AFSB51H3/ HISB51H3  HISB53H3  HISB57H3  HISB58H3  HISB60H3  HISB61H3  HISB62H3  HISB93H3  HISB94H3]
mgac70h3,14.0 credits cumulative GPA of at least 2.5 and permission from the coordinator.
mgad20h3,Completion of at least 2.0 credits at the C-Level in HLT courses from the requirements of the Major/Major Co-operative programs in Health Studies; and a minimum CGPA of 2.5.
mgad40h3,None
mgad45h3, LINA01H3 or [ FREB44H3 and  FREB45H3]
mgad50h3, MGEB02H3/( ECMB02H3) and [ MGEC40H3/( ECMC40H3) or  MGEC41H3/( ECMC41H3)]
mgad60h3, POLB80H3 and  POLB81H3 and [1.5 credits at the C-level in POL courses]
mgad65h3, CHMC11H3
mgad70h3,At least 4.0 credits in POL courses
mgad80h3,None
mgea01h3, VPMB68H3
mgea02h3, FREB50H3 and [0.5 credit in Quebec literature and 0.5 credit in French literature one of which must be at the C-level]
mgea05h3, HLTB22H3
mgea06h3,None
mgeb01h3, LINA01H3 and one full credit at the B-level in ANT LIN SOC or WST
mgeb02h3, BIOA01H3 and  BIOA02H3 and  CHMA10H3 and  CHMA11H3
mgeb05h3, ACMB01H3 and  MDSB05H3 and  JOUB39H3
mgeb06h3,[ ANTB19H3 and  ANTB20H3] or [1.5 credits at the B-level in CIT courses]
mgeb11h3, PMDB22H3 and  PMDB25H3 and  PMDB41H3 and  PMDB33H3
mgeb12h3, MATA31H3 and [ MATA67H3 or  CSCA67H3]
mgeb31h3,[10.0 credits and  SOCB05H3 and [1.0 credit from the following:  SOCB30H3  SOCB42H3  SOCB43H3  SOCB47H3]] or [ SOCB60H3 and enrolment in the Minor in Critical Migration Studies]
mgeb32h3, [ PSYB01H3 or  PSYB04H3] and [ PSYB07H3 or  STAB22H3 or  STAB23H3] and  PSYB10H3 and [1.0 credit at the C-level in PSY courses]
mgeb60h3, VPMB88H3
mgec02h3, ANTA02H3
mgec06h3, ACMB01H3 and [[ MDSA01H3 and  MDSB05H3] or [ JOUA01H3 and  JOUA02H3]]
mgec11h3, MGAC01H3/( MGTC07H3) and  MGAC02H3/( MGTC08H3)
mgec20h3, WSTA01H3 or  WSTA03H3 or ( WSTA02H3)
mgec21h3,Any 4.0 credits including 0.5 credit at the A- or B-level in HIS courses
mgec22h3, ACMB01H3 and  CRTB01H3 and  CRTB02H3
mgec31h3, VPMC66H3
mgec32h3,Completion of at least 2.0 credits at the C-Level in HLT courses from the requirements of one of the Major/Major Co-operative programs in Health Studies; and a minimum CGPA of 2.5.
mgec34h3, LINB06H3 or  LINB09H3
mgec37h3, MGEB01H3 or  MGEB02H3
mgec38h3, LGGA64H3 or ( LGGA62H3)
mgec40h3,None
mgec41h3,[( POLB70H3) or ( POLB71H3) or  POLB72H3] and [1.5 credits at the C-level in POL courses]
mgec51h3,None
mgec52h3,13.0 credits including  GGRB02H3
mgec54h3,Permission of the instructor and Department. 
mgec58h3,Any 6.0 credits 
mgec61h3,Any 8.0 credits
mgec62h3,8.0 credits including  IDSA01H3 and  IDSB04H3
mgec71h3,1.0 credit at B-level in European history
mgec72h3, BIOB50H3 and  BIOB51H3 and  BIOB52H3 and permission of instructor. 
mgec80h3, MATB41H3
mgec81h3,None
mgec82h3, POLB90H3 and [ POLB91H3 or 0.5 credit at the B-level in IDS courses] and [2.0 credits at the C-level in any courses]
mgec91h3, VPMB67H3
mgec92h3,[ POLB50Y3 or equivalent] or  ESTB01H3 or [1.5 credits at the B-level in CIT courses]
mgec93h3,[ POLB50Y3 or equivalent] and [1.5 credits at the C-level in POL courses]
mged02h3,None
mged06h3, ACMC01H3
mged11h3,3.0 credits at the B- or C-level in COG and/or LIN and/or PSY and permission of the supervisor. Note:  Normally students need a cumulative GPA of at least 2.7 for permission to be granted.
mged43h3,[[ FREB01H3 and  FREB02H3] or equivalent] and [one of  FREB44H3  FREB45H3  FREB46H3]
mged50h3,[ ANTB19H3 and  ANTB20H3] or [ MDSA01H3 and  MDSB05H3 and  ACMB01H3]
mged63h3,At least 1.0 credit at the C-level in PLI courses and permission of the supervising instructor
mged70h3, BIOB50H3 and  BIOB51H3
mged90h3, FREA01H3 and  FREA02H3 or equivalent.
mged91h3,None
mgfb10h3, VPHA46H3
mgfc10h3, POLC78H3 and [1.0 credit at the C-level in POL courses]
mgfc20h3,[ BIOB11H3 or ( BIOB10Y3)] and [one of:  BIOC32H3  NROC61H3  NROC64H3 or  NROC69H3]
mgfc30h3,Completion of 15.0 credits including 4.5 credits from the Major (Joint) program in New Media Studies Group I and Group II courses
mgfc50h3,Any 4.5 credits and [an additional 1.5 credits in PHL courses including  PHLB50H3 and 0.5 credit from the Mind Metaphysics and Epistemology area of focus – see Table 1.0 for reference] 
mgfc60h3,Any 8.0 credits including: [0.5 credit at the A- or B-level in HIS or WST courses] and [0.5 credit at the C-level in HIS or WST courses]
mgfd10h3, POLB80H3 and  POLB81H3 and [( ISTB01H3) or  IDSB10H3]
mgfd15h3, VPSA62H3and  VPSA63H3 and  VPSB70H3
mgfd30h3, HLTB16H3
mgfd40h3, BIOB51H3
mgfd50h3,1.0 credit in HIS courses
mgfd60h3, ANTA01H3 or [ HLTA02H3 and  HLTA03H3]
mgfd70h3,None
mghb02h3,None
mghb12h3,None
mghc02h3,[ FREA01H3 and  FREA02H3] or equivalent.
mghc23h3,One full credit in Classics or History
mghc52h3, IDSA01H3 and  IDSB01H3 and  IDSB02H3
mghc53h3,[ PSYB01H3 or  PSYB04H3] and [ PSYB07H3 or  STAB22H3 or  STAB23H3] and  PSYB51H3 and [[0.5 credit from the PSYC50-series of courses] or  NROC64H3] 
mghd14h3,None
